NAME=Contour
14.10, 16.53
14.05, 16.55
14.05, 16.55
14.00, 16.57
13.98, 16.58
13.95, 16.60
13.92, 16.62
13.90, 16.63
13.86, 16.66
13.80, 16.70
13.80, 16.70
13.80, 16.70
13.79, 16.71
13.75, 16.75
13.70, 16.79
13.70, 16.80
13.69, 16.80
13.65, 16.85
13.60, 16.90
13.60, 16.90
13.60, 16.90
13.58, 16.92
13.55, 16.95
13.51, 17.00
13.51, 17.01
13.50, 17.01
13.50, 17.00
13.50, 17.00
13.50, 17.00
13.48, 16.92
13.47, 16.90
13.47, 16.87
13.46, 16.84
13.45, 16.80
13.44, 16.76
13.43, 16.73
13.43, 16.70
13.42, 16.68
13.40, 16.60
13.40, 16.60
13.40, 16.60
13.40, 16.60
13.40, 16.60
13.40, 16.60
13.40, 16.60
13.36, 16.66
13.34, 16.70
13.33, 16.73
13.30, 16.77
13.29, 16.79
13.28, 16.80
13.25, 16.85
13.25, 16.85
13.22, 16.90
13.21, 16.91
13.20, 16.93
13.17, 16.97
13.15, 17.00
13.13, 17.03
13.10, 17.08
13.10, 17.10
13.10, 17.10
13.10, 17.10
13.09, 17.19
13.09, 17.20
13.09, 17.21
13.08, 17.28
13.08, 17.30
13.09, 17.31
13.10, 17.32
13.15, 17.35
13.16, 17.40
13.18, 17.42
13.20, 17.45
13.23, 17.47
13.24, 17.50
13.27, 17.53
13.30, 17.58
13.32, 17.58
13.40, 17.60
13.40, 17.60
13.40, 17.60
13.40, 17.60
13.41, 17.61
13.40, 17.61
13.39, 17.69
13.39, 17.70
13.40, 17.70
13.40, 17.71
13.41, 17.71
13.44, 17.70
13.47, 17.67
13.50, 17.67
13.52, 17.68
13.52, 17.70
13.52, 17.72
13.51, 17.79
13.51, 17.80
13.56, 17.84
13.58, 17.88
13.59, 17.90
13.59, 17.91
13.60, 17.91
13.65, 17.95
13.68, 18.00
13.64, 18.04
13.60, 18.06
13.56, 18.06
13.53, 18.07
13.50, 18.07
13.47, 18.07
13.43, 18.07
13.40, 18.07
13.37, 18.07
13.33, 18.07
13.30, 18.07
13.28, 18.08
13.22, 18.08
13.20, 18.08
13.18, 18.08
13.11, 18.09
13.10, 18.09
13.09, 18.09
13.00, 18.10
13.00, 18.10
13.00, 18.10
13.00, 18.10
13.00, 18.10
12.99, 18.19
12.99, 18.20
12.99, 18.21
12.99, 18.29
12.99, 18.30
12.98, 18.32
12.98, 18.38
12.98, 18.40
12.98, 18.42
12.98, 18.48
12.97, 18.50
12.97, 18.53
12.97, 18.57
12.97, 18.60
12.97, 18.63
12.97, 18.67
12.96, 18.70
12.96, 18.74
12.96, 18.76
12.96, 18.80
12.96, 18.84
12.96, 18.86
12.96, 18.90
12.96, 18.94
12.95, 18.95
12.95, 19.00
12.97, 19.03
13.00, 19.05
13.04, 19.06
13.06, 19.06
13.10, 19.06
13.14, 19.06
13.17, 19.07
13.20, 19.07
13.23, 19.07
13.28, 19.08
13.30, 19.08
13.32, 19.08
13.39, 19.09
13.40, 19.09
13.41, 19.09
13.46, 19.10
13.43, 19.13
13.43, 19.17
13.42, 19.20
13.42, 19.22
13.42, 19.28
13.42, 19.30
13.42, 19.32
13.42, 19.38
13.42, 19.40
13.43, 19.43
13.43, 19.47
13.47, 19.50
13.47, 19.53
13.48, 19.58
13.49, 19.60
13.49, 19.61
13.50, 19.65
13.50, 19.70
13.51, 19.70
13.50, 19.70
13.50, 19.71
13.48, 19.72
13.44, 19.74
13.40, 19.75
13.37, 19.77
13.31, 19.79
13.30, 19.79
13.30, 19.80
13.28, 19.80
13.29, 19.81
13.30, 19.86
13.31, 19.89
13.31, 19.90
13.32, 19.92
13.33, 19.97
13.35, 20.00
13.36, 20.04
13.38, 20.08
13.39, 20.10
13.39, 20.11
13.40, 20.13
13.40, 20.20
13.40, 20.20
13.40, 20.20
13.40, 20.20
13.40, 20.20
13.31, 20.21
13.31, 20.29
13.31, 20.30
13.30, 20.30
13.30, 20.31
13.29, 20.31
13.22, 20.32
13.22, 20.38
13.21, 20.40
13.21, 20.41
13.20, 20.41
13.19, 20.41
13.11, 20.41
13.10, 20.43
13.07, 20.43
13.03, 20.43
13.00, 20.43
12.96, 20.44
12.94, 20.44
12.90, 20.44
12.86, 20.44
12.84, 20.44
12.80, 20.44
12.76, 20.44
12.74, 20.44
12.70, 20.45
12.65, 20.45
12.65, 20.45
12.60, 20.45
12.55, 20.45
12.55, 20.45
12.50, 20.45
12.45, 20.45
12.45, 20.45
12.40, 20.46
12.36, 20.46
12.34, 20.46
12.30, 20.46
12.26, 20.46
12.24, 20.46
12.20, 20.46
12.16, 20.46
12.14, 20.46
12.10, 20.46
12.06, 20.46
12.04, 20.46
12.00, 20.46
11.97, 20.47
11.93, 20.47
11.90, 20.47
11.87, 20.47
11.83, 20.47
11.80, 20.47
11.77, 20.47
11.73, 20.47
11.70, 20.47
11.67, 20.47
11.63, 20.47
11.60, 20.47
NAME=Contour
18.98, 20.90
18.98, 20.88
18.97, 20.83
18.96, 20.80
18.95, 20.75
18.95, 20.75
18.94, 20.70
18.94, 20.66
18.94, 20.64
18.93, 20.60
18.93, 20.57
